10	3
10	5
10	7
10	9
100	11
100	13
100	15
100	17
100	7
100	9
1000	11
1000	13
1000	15
1000	17
1000	19
1000	21
1000	23
1000	25
1000	9
2000	11
2000	13
2000	15
2000	17
2000	19
2000	21
2000	23
2000	25
2000	27
2000	7
2000	9
5000	11
5000	13
5000	15
5000	17
5000	19
5000	21
5000	23
5000	25
5000	27
5000	29
5000	31
5000	9
10000	11
10000	13
10000	15
10000	17
10000	19
10000	21
10000	23
10000	25
10000	27
10000	29
10000	3
10000	31
10000	33
10000	9
15000	11
15000	13
15000	15
15000	17
15000	19
15000	21
15000	23
15000	25
15000	27
15000	29
15000	31
15000	33
15000	35
15000	5
15000	7
15000	9
25000	11
25000	13
25000	15
25000	17
25000	19
25000	21
25000	23
25000	25
25000	27
25000	29
25000	31
25000	33
25000	35
25000	37
25000	7
25000	9
43000	11
43000	13
43000	15
43000	17
43000	19
43000	21
43000	23
43000	25
43000	27
43000	29
43000	3
43000	31
43000	33
43000	35
43000	37
43000	5
43000	7
43000	9
50000	11
50000	13
50000	15
50000	17
50000	19
50000	21
50000	23
50000	25
50000	27
50000	29
50000	31
50000	33
50000	35
50000	37
50000	9
