10	7
10	9
100	11
100	13
100	15
100	17
1000	17
1000	19
1000	21
1000	23
1000	25
2000	19
2000	21
2000	23
2000	25
2000	27
2000	29
5000	21
5000	23
5000	25
5000	27
5000	29
5000	31
5000	33
10000	23
10000	25
10000	27
10000	29
10000	31
10000	33
10000	35
15000	25
15000	27
15000	29
15000	31
15000	33
15000	35
15000	37
25000	27
25000	29
25000	31
25000	33
25000	35
25000	37
25000	39
35000	27
35000	29
35000	31
35000	33
35000	35
35000	37
35000	39
35000	41
43000	31
43000	33
43000	35
43000	37
43000	39
43000	41
50000	31
50000	33
50000	35
50000	37
50000	39
50000	41
50000	43
